text	lemma	ending	clitic	partofspeech	form	prob	freq
rehemaa	Rehemaa	0		H	sg n	1.0	6
loomann	Loomann	0		H	sg n	1.0	6
indriksoni	Indrikson	0		H	sg g	1.0	6
indriksoni	Indriksoni	0		H	sg g	0.0	0
kuiperi	Kuiper	0		H	sg g	1.0	6
kuiperi	Kuiperi	0		H	sg g	0.0	0
randväli	Randväli	0		H	sg n	1.0	6
varastatud	varastatud	0		A		0.6667	4
varastatud	varastama	tud		V	tud	0.3333	2
varastatud	varastatud	d		A	pl n	0.0	0
varastatud	varastatud	0		A	sg n	0.0	0
kohtunud	kohtuma	nud		V	nud	1.0	5
kohtunud	kohtunud	0		A		0.0	0
kohtunud	kohtunud	0		A	sg n	0.0	0
kohtunud	kohtunud	d		A	pl n	0.0	0
tamme	Tamme	0		H	sg g	1.0	5
tamme	Tamm	0		H	sg g	0.0	0
tegelnud	tegelema	nud		V	nud	1.0	5
tegelnud	tegelnud	0		A		0.0	0
tegelnud	tegelnud	d		A	pl n	0.0	0
tegelnud	tegelnud	0		A	sg n	0.0	0
savi	Savi	0		H	sg g	1.0	5
savi	Sav	0		H	sg g	0.0	0
kremli	Kreml	0		H	sg g	1.0	5
kremli	Kremli	0		H	sg g	0.0	0
tabatud	tabama	tud		V	tud	0.4	2
tabatud	tabatud	0		A		0.4	2
tabatud	tabatud	0		A	sg n	0.2	1
tabatud	tabatud	d		A	pl n	0.0	0
forsseeritud	forsseeritud	0		A		1.0	5
forsseeritud	forsseerima	tud		V	tud	0.0	0
forsseeritud	forsseeritud	d		A	pl n	0.0	0
forsseeritud	forsseeritud	0		A	sg n	0.0	0
niemeyeri	Niemeyer	0		H	sg g	1.0	5
niemeyeri	Niemeyeri	0		H	sg g	0.0	0
krohvitud	krohvitud	0		A		1.0	5
krohvitud	krohvitud	d		A	pl n	0.0	0
krohvitud	krohvima	tud		V	tud	0.0	0
krohvitud	krohvitud	0		A	sg n	0.0	0
osutanud	osutama	nud		V	nud	0.8	4
osutanud	osutanud	0		A		0.2	1
osutanud	osutanud	d		A	pl n	0.0	0
osutanud	osutanud	0		A	sg n	0.0	0
selgitama	selgitama	ma		V	ma	1.0	5
selgitama	selgima	tama		V	tama	0.0	0
pälvinud	pälvima	nud		V	nud	0.6	3
pälvinud	pälvinud	0		A		0.4	2
pälvinud	pälvinud	0		A	sg n	0.0	0
pälvinud	pälvinud	d		A	pl n	0.0	0
kogunud	koguma	nud		V	nud	0.8	4
kogunud	kogunud	0		A		0.2	1
kogunud	kogunud	0		A	sg n	0.0	0
kogunud	kogunud	d		A	pl n	0.0	0
kirjeldanud	kirjeldama	nud		V	nud	1.0	5
kirjeldanud	kirjeldanud	d		A	pl n	0.0	0
kirjeldanud	kirjeldanud	0		A		0.0	0
kirjeldanud	kirjeldanud	0		A	sg n	0.0	0
padari	Padar	0		H	sg g	1.0	5
padari	Padari	0		H	sg g	0.0	0
tellinud	tellima	nud		V	nud	0.8	4
tellinud	tellinud	0		A		0.2	1
tellinud	tellinud	0		A	sg n	0.0	0
tellinud	tellinud	d		A	pl n	0.0	0
kuivanud	kuivama	nud		V	nud	0.8	4
kuivanud	kuivanud	0		A		0.2	1
kuivanud	kuivanud	0		A	sg n	0.0	0
kuivanud	kuivanud	d		A	pl n	0.0	0
suure	Suur	0		H	sg g	1.0	5
suure	Suure	0		H	sg g	0.0	0
hinges	hing	s		S	sg in	1.0	5
hinges	hinge	s		S	sg in	0.0	0
nigoli	Nigol	0		H	sg g	1.0	5
nigoli	Nigoli	0		H	sg g	0.0	0
teretulnud	teretulnud	0		A		0.8	4
teretulnud	teretulnud	d		A	pl n	0.2	1
teretulnud	teretulnud	0		A	sg n	0.0	0
selgunud	selguma	nud		V	nud	0.8	4
selgunud	selgunud	0		A		0.2	1
selgunud	selgunud	0		A	sg n	0.0	0
selgunud	selgunud	d		A	pl n	0.0	0
müüdud	müüma	dud		V	tud	0.6	3
müüdud	müüdud	0		A		0.4	2
müüdud	müüdud	0		A	sg n	0.0	0
müüdud	müüdud	d		A	pl n	0.0	0
moodustunud	moodustunud	0		A		1.0	5
moodustunud	moodustunud	d		A	pl n	0.0	0
moodustunud	moodustuma	nud		V	nud	0.0	0
moodustunud	moodustunud	0		A	sg n	0.0	0
talvede	talv	de		S	pl g	1.0	5
talvede	tali	de		S	pl g	0.0	0
avastanud	avastama	nud		V	nud	1.0	5
avastanud	avastanud	d		A	pl n	0.0	0
avastanud	avastanud	0		A	sg n	0.0	0
avastanud	avastanud	0		A		0.0	0
feeri	Feer	0		H	sg g	1.0	5
feeri	Feeri	0		H	sg g	0.0	0
päevalehes	Päevaleht	s		H	sg in	1.0	5
päevalehes	Päevalehe	s		H	sg in	0.0	0
tööjõud	tööjõud	0		S	sg n	1.0	5
tööjõud	tööjõud	d		S	pl n	0.0	0
huvitanud	huvitama	nud		V	nud	0.8	4
huvitanud	huvitanud	0		A		0.2	1
huvitanud	huvitanud	d		A	pl n	0.0	0
huvitanud	huvitanud	0		A	sg n	0.0	0
kandnud	kandma	nud		V	nud	0.8	4
kandnud	kandnud	0		A		0.2	1
kandnud	kandnud	d		A	pl n	0.0	0
kandnud	kandnud	0		A	sg n	0.0	0
juhtinud	juhtinud	0		A		0.8	4
juhtinud	juhtima	nud		V	nud	0.2	1
juhtinud	juhtinud	d		A	pl n	0.0	0
juhtinud	juhtinud	0		A	sg n	0.0	0
ürümchi	Ürümchi	0		H	sg g	1.0	5
ürümchi	Ürümch	0		H	sg g	0.0	0
pettunud	pettunud	0		A		0.6	3
pettunud	pettuma	nud		V	nud	0.4	2
pettunud	pettunud	0		A	sg n	0.0	0
pettunud	pettunud	d		A	pl n	0.0	0
keeranud	keerama	nud		V	nud	0.8	4
keeranud	keeranud	0		A		0.2	1
keeranud	keeranud	0		A	sg n	0.0	0
keeranud	keeranud	d		A	pl n	0.0	0
varad	vara	d		S	pl n	1.0	5
varad	varad	d		S	pl n	0.0	0
põgenenud	põgenenud	0		A		0.8	4
põgenenud	põgenema	nud		V	nud	0.2	1
põgenenud	põgenenud	d		A	pl n	0.0	0
põgenenud	põgenenud	0		A	sg n	0.0	0
paistnud	paistma	nud		V	nud	0.8	4
paistnud	paistnud	0		A		0.2	1
paistnud	paistnud	d		A	pl n	0.0	0
paistnud	paistnud	0		A	sg n	0.0	0
liigutama	liigutama	ma		V	ma	1.0	5
liigutama	liikuma	tama		V	tama	0.0	0
kadrioru	Kadriorg	0		H	sg g	1.0	5
kadrioru	Kadrioru	0		H	sg g	0.0	0
asustatud	asustatud	0		A		0.8	4
asustatud	asustama	tud		V	tud	0.2	1
asustatud	asustatud	d		A	pl n	0.0	0
asustatud	asustatud	0		A	sg n	0.0	0
põhjendatud	põhjendatud	0		A		0.8	4
põhjendatud	põhjendatud	d		A	pl n	0.2	1
põhjendatud	põhjendatud	0		A	sg n	0.0	0
põhjendatud	põhjendama	tud		V	tud	0.0	0
ühelgi	üks	l	gi	P	sg ad	0.8	4
ühelgi	üks	l	gi	N	sg ad	0.2	1
polishtshuki	Polishtshuk	0		H	sg g	1.0	5
polishtshuki	Polishtshuki	0		H	sg g	0.0	0
nõudel	nõue	l		S	sg ad	1.0	5
nõudel	nõu	del		S	pl ad	0.0	0
omandanud	omandama	nud		V	nud	1.0	5
omandanud	omandanud	d		A	pl n	0.0	0
omandanud	omandanud	0		A		0.0	0
omandanud	omandanud	0		A	sg n	0.0	0
tšetšeeni	Tšetšeeni	0		H	sg g	0.8	4
tšetšeeni	Tšetšeen	0		H	sg g	0.2	1
ärganud	ärkama	nud		V	nud	0.8	4
ärganud	ärganud	0		A		0.2	1
ärganud	ärganud	d		A	pl n	0.0	0
ärganud	ärganud	0		A	sg n	0.0	0
käsitletud	käsitlema	tud		V	tud	1.0	5
käsitletud	käsitletud	0		A		0.0	0
käsitletud	käsitletud	d		A	pl n	0.0	0
käsitletud	käsitletud	0		A	sg n	0.0	0
kuuldud	kuuldud	0		A		1.0	5
kuuldud	kuuldud	d		A	pl n	0.0	0
kuuldud	kuuldud	0		A	sg n	0.0	0
kuuldud	kuulma	dud		V	tud	0.0	0
kuuldud	kuulduma	d		V	d	0.0	0
täitnud	täitma	nud		V	nud	1.0	5
täitnud	täitnud	0		A	sg n	0.0	0
täitnud	täitnud	0		A		0.0	0
täitnud	täitnud	d		A	pl n	0.0	0
ostetud	ostetud	0		A		0.6	3
ostetud	ostma	tud		V	tud	0.4	2
ostetud	ostetud	0		A	sg n	0.0	0
ostetud	ostetud	d		A	pl n	0.0	0
joonistatud	joonistatud	0		A		0.6	3
joonistatud	joonistama	tud		V	tud	0.4	2
joonistatud	joonistatud	d		A	pl n	0.0	0
joonistatud	joonistatud	0		A	sg n	0.0	0
löönud	lööma	nud		V	nud	1.0	5
löönud	löönud	0		A	sg n	0.0	0
löönud	löönud	d		A	pl n	0.0	0
löönud	löönud	0		A		0.0	0
suurendanud	suurendama	nud		V	nud	1.0	5
suurendanud	suurendanud	d		A	pl n	0.0	0
suurendanud	suurendanud	0		A		0.0	0
suurendanud	suurendanud	0		A	sg n	0.0	0
kaitstud	kaitstud	0		A		0.6	3
kaitstud	kaitsma	tud		V	tud	0.4	2
kaitstud	kaitstud	d		A	pl n	0.0	0
kaitstud	kaitstud	0		A	sg n	0.0	0
fibrillide	fibrillide	0		S	sg g	0.6	3
fibrillide	fibrill	de		S	pl g	0.4	2
fibrillide	fibrilli	de		S	pl g	0.0	0
liidus	Liit	s		H	sg in	1.0	5
liidus	Liidu	s		H	sg in	0.0	0
liidus	Liidud	s		H	sg in	0.0	0
hukkunud	hukkunud	0		A		0.8	4
hukkunud	hukkuma	nud		V	nud	0.2	1
hukkunud	hukkunud	0		A	sg n	0.0	0
hukkunud	hukkunud	d		A	pl n	0.0	0
tormanud	tormama	nud		V	nud	0.6	3
tormanud	tormanud	0		A		0.4	2
tormanud	tormanud	d		A	pl n	0.0	0
tormanud	tormanud	0		A	sg n	0.0	0
väikeses	väike	s		A	sg in	1.0	5
väikeses	väikene	s		A	sg in	0.0	0
maksnud	maksma	nud		V	nud	0.8	4
maksnud	maksnud	0		A		0.2	1
maksnud	maksnud	d		A	pl n	0.0	0
maksnud	maksnud	0		A	sg n	0.0	0
söödetud	söödetud	0		A		1.0	5
söödetud	söödetud	0		A	sg n	0.0	0
söödetud	söödetud	d		A	pl n	0.0	0
söödetud	söötma	tud		V	tud	0.0	0
kalejsi	Kalejs	0		H	sg g	1.0	5
kalejsi	Kalejsi	0		H	sg g	0.0	0
koorunud	koorunud	0		A		1.0	5
koorunud	koorunud	0		A	sg n	0.0	0
koorunud	koorunud	d		A	pl n	0.0	0
koorunud	kooruma	nud		V	nud	0.0	0
mustamäe	Mustamäe	0		H	sg g	1.0	5
mustamäe	Mustamägi	0		H	sg g	0.0	0
mandril	manner	l		S	sg ad	1.0	5
mandril	mander	l		S	sg ad	0.0	0
kerkinud	kerkima	nud		V	nud	0.8	4
kerkinud	kerkinud	0		A		0.2	1
kerkinud	kerkinud	d		A	pl n	0.0	0
kerkinud	kerkinud	0		A	sg n	0.0	0
kaasasündinud	kaasasündinud	0		A		1.0	5
kaasasündinud	kaasasündinud	0		A	sg n	0.0	0
kaasasündinud	kaasasündinud	d		A	pl n	0.0	0
häiritud	häirima	tud		V	tud	0.6	3
häiritud	häiritud	0		A		0.4	2
häiritud	häiritud	d		A	pl n	0.0	0
häiritud	häiritud	0		A	sg n	0.0	0
tšehhi	Tšehhi	0		H	sg g	1.0	5
tšehhi	Tšehh	0		H	sg g	0.0	0
külmunud	külmunud	0		A		1.0	5
külmunud	külmuma	nud		V	nud	0.0	0
külmunud	külmunud	d		A	pl n	0.0	0
külmunud	külmunud	0		A	sg n	0.0	0
arendatud	arendama	tud		V	tud	0.8	4
arendatud	arendatud	0		A		0.2	1
arendatud	arendatud	d		A	pl n	0.0	0
arendatud	arendatud	0		A	sg n	0.0	0
kuulutatud	kuulutatud	0		A		0.6	3
kuulutatud	kuulutama	tud		V	tud	0.4	2
kuulutatud	kuulutatud	d		A	pl n	0.0	0
kuulutatud	kuulutatud	0		A	sg n	0.0	0
tšetšeeni-inguši	Tšetšeeni-Inguši	0		H	sg g	0.8	4
tšetšeeni-inguši	Tšetšeeni-Inguš	0		H	sg g	0.2	1
tšetšeeni-inguši	Tšetšeeni-Ingušš	0		H	sg g	0.0	0
panga	Pank	0		H	sg g	1.0	5
panga	Panga	0		H	sg g	0.0	0
surutud	suruma	tud		V	tud	0.6	3
surutud	surutud	0		A		0.4	2
surutud	surutud	0		A	sg n	0.0	0
surutud	surutud	d		A	pl n	0.0	0
denikini	Denikin	0		H	sg g	1.0	5
denikini	Denikini	0		H	sg g	0.0	0
väike-pakri	Väike-Pakri	0		H	sg g	1.0	5
väike-pakri	Väike-Pakr	0		H	sg g	0.0	0
liikori	Liikor	0		H	sg g	1.0	5
liikori	Liikori	0		H	sg g	0.0	0
kaitseb	kaitsma	b		V	b	1.0	5
kaitseb	kaitsema	b		V	b	0.0	0
neiu	neiu	0		S	sg g	1.0	4
neiu	neid	0		S	sg g	0.0	0
linnutee	Linnutee	0		H	sg g	1.0	4
tuvastatud	tuvastatud	0		A		0.75	3
tuvastatud	tuvastama	tud		V	tud	0.25	1
tuvastatud	tuvastatud	0		A	sg n	0.0	0
tuvastatud	tuvastatud	d		A	pl n	0.0	0
räägitud	rääkima	tud		V	tud	1.0	4
räägitud	räägitud	0		A		0.0	0
räägitud	räägitud	0		A	sg n	0.0	0
räägitud	räägitud	d		A	pl n	0.0	0
vilimaa	Vilimaa	0		H	sg g	0.5	2
vilimaa	Vilimaa	0		H	sg n	0.5	2
kannatanud	kannatanud	0		A		0.75	3
kannatanud	kannatama	nud		V	nud	0.25	1
kannatanud	kannatanud	d		A	pl n	0.0	0
kannatanud	kannatanud	0		A	sg n	0.0	0
mõisa	Mõis	0		H	sg g	1.0	4
mõisa	Mõisa	0		H	sg g	0.0	0
lagunenud	lagunenud	0		A		0.5	2
lagunenud	lagunema	nud		V	nud	0.5	2
lagunenud	lagunenud	0		A	sg n	0.0	0
lagunenud	lagunenud	d		A	pl n	0.0	0
tõstnud	tõstma	nud		V	nud	0.75	3
tõstnud	tõstnud	0		A		0.25	1
tõstnud	tõstnud	0		A	sg n	0.0	0
tõstnud	tõstnud	d		A	pl n	0.0	0
vahendatud	vahendatud	0		A		1.0	4
vahendatud	vahendatud	d		A	pl n	0.0	0
vahendatud	vahendama	tud		V	tud	0.0	0
vahendatud	vahendatud	0		A	sg n	0.0	0
dekompenseeritud	dekompenseeritud	0		A		1.0	4
dekompenseeritud	dekompenseerima	tud		V	tud	0.0	0
dekompenseeritud	dekompenseeritud	d		A	pl n	0.0	0
dekompenseeritud	dekompenseeritud	0		A	sg n	0.0	0
külla	küla	0		S	adt	1.0	4
külla	küll	0		S	adt	0.0	0
punjabi	Punjab	0		H	sg g	1.0	4
punjabi	Punjabi	0		H	sg g	0.0	0
noorkõiv	Noorkõiv	0		H	sg n	1.0	4
katkenud	katkenud	0		A		0.75	3
katkenud	katkema	nud		V	nud	0.25	1
katkenud	katkenud	0		A	sg n	0.0	0
katkenud	katkenud	d		A	pl n	0.0	0
raekoja	Raekoda	0		H	sg g	1.0	4
raekoja	Raekoja	0		H	sg g	0.0	0
sünnitama	sünnitama	ma		V	ma	1.0	4
sünnitama	sündima	tama		V	tama	0.0	0
läbinud	läbima	nud		V	nud	1.0	4
läbinud	läbinud	d		A	pl n	0.0	0
läbinud	läbinud	0		A	sg n	0.0	0
läbinud	läbinud	0		A		0.0	0
kalmu	Kalm	0		H	sg g	1.0	4
kalmu	Kalmu	0		H	sg g	0.0	0
jaganud	jagama	nud		V	nud	1.0	4
jaganud	jaganud	0		A	sg n	0.0	0
jaganud	jaganud	0		A		0.0	0
jaganud	jaganud	d		A	pl n	0.0	0
liitunud	liitunud	0		A		0.75	3
liitunud	liituma	nud		V	nud	0.25	1
liitunud	liitunud	0		A	sg n	0.0	0
liitunud	liitunud	d		A	pl n	0.0	0
tundnud	tundma	nud		V	nud	0.75	3
tundnud	tundnud	0		A		0.25	1
tundnud	tundnud	0		A	sg n	0.0	0
tundnud	tundnud	d		A	pl n	0.0	0
haaranud	haaranud	0		A		0.75	3
haaranud	haarama	nud		V	nud	0.25	1
haaranud	haaranud	0		A	sg n	0.0	0
haaranud	haaranud	d		A	pl n	0.0	0
kiitnud	kiitma	nud		V	nud	1.0	4
kiitnud	kiitnud	0		A		0.0	0
kiitnud	kiitnud	0		A	sg n	0.0	0
kiitnud	kiitnud	d		A	pl n	0.0	0
õpitud	õpitud	0		A		0.75	3
õpitud	õppima	tud		V	tud	0.25	1
õpitud	õpitud	0		A	sg n	0.0	0
õpitud	õpitud	d		A	pl n	0.0	0
mandrite	manner	te		S	pl g	1.0	4
mandrite	mander	te		S	pl g	0.0	0
pajast	pada	st		S	sg el	1.0	4
pajast	paja	st		S	sg el	0.0	0
väikestesse	väike	tesse		A	pl ill	1.0	4
väikestesse	väikene	tesse		A	pl ill	0.0	0
ehitama	ehitama	ma		V	ma	1.0	4
ehitama	ehtima	tama		V	tama	0.0	0
unustatud	unustama	tud		V	tud	0.75	3
unustatud	unustatud	0		A		0.25	1
unustatud	unustatud	0		A	sg n	0.0	0
unustatud	unustatud	d		A	pl n	0.0	0
jaansoo	Jaansoo	0		H	sg n	1.0	4
graali	Graal	0		H	sg g	1.0	4
graali	Graali	0		H	sg g	0.0	0
vaarandi	Vaarandi	0		H	sg g	1.0	4
vaarandi	Vaarand	0		H	sg g	0.0	0
vaarandi	Vaarant	0		H	sg g	0.0	0
liinati	Liinat	0		H	sg g	1.0	4
liinati	Liinati	0		H	sg g	0.0	0
kaitsevad	kaitsma	vad		V	vad	1.0	4
kaitsevad	kaitsema	vad		V	vad	0.0	0
väikesi	väike	i		A	pl p	1.0	4
väikesi	väikene	i		A	pl p	0.0	0
valgustatud	valgustatud	0		A		1.0	4
valgustatud	valgustatud	d		A	pl n	0.0	0
valgustatud	valgustama	tud		V	tud	0.0	0
valgustatud	valgustatud	0		A	sg n	0.0	0
randpere	Randpere	0		H	sg n	1.0	4
maod	madu	d		S	pl n	1.0	4
maod	magu	d		S	pl n	0.0	0
vaadeldud	vaadeldud	0		A		1.0	4
vaadeldud	vaadeldud	0		A	sg n	0.0	0
vaadeldud	vaadeldud	d		A	pl n	0.0	0
vaadeldud	vaatlema	dud		V	tud	0.0	0
eelkirjeldatud	eelkirjeldatud	0		A		1.0	4
eelkirjeldatud	eelkirjeldatud	d		A	pl n	0.0	0
eelkirjeldatud	eelkirjeldatud	0		A	sg n	0.0	0
laienenud	laienenud	0		A		0.75	3
laienenud	laienema	nud		V	nud	0.25	1
laienenud	laienenud	0		A	sg n	0.0	0
laienenud	laienenud	d		A	pl n	0.0	0
ida-tallinna	Ida-Tallinn	0		H	sg g	1.0	4
teistegi	teine	te	gi	P	pl g	1.0	4
teistegi	teine	te	gi	O	pl g	0.0	0
keni	Ken	0		H	sg g	1.0	4
keni	Keni	0		H	sg g	0.0	0
moonutatud	moonutatud	0		A		0.75	3
moonutatud	moonutama	tud		V	tud	0.25	1
moonutatud	moonutatud	d		A	pl n	0.0	0
moonutatud	moonutatud	0		A	sg n	0.0	0
summa	summa	0		S	sg g	1.0	4
summa	summ	0		S	sg g	0.0	0
küsitletud	küsitletud	0		A		1.0	4
küsitletud	küsitlema	tud		V	tud	0.0	0
küsitletud	küsitletud	0		A	sg n	0.0	0
küsitletud	küsitletud	d		A	pl n	0.0	0
kivimägi	Kivimägi	0		H	sg n	1.0	4
koostanud	koostama	nud		V	nud	0.75	3
koostanud	koostanud	0		A		0.25	1
koostanud	koostanud	0		A	sg n	0.0	0
koostanud	koostanud	d		A	pl n	0.0	0
valinud	valima	nud		V	nud	1.0	4
valinud	valinud	d		A	pl n	0.0	0
valinud	valinud	0		A		0.0	0
valinud	valinud	0		A	sg n	0.0	0
ilmamaa	Ilmamaa	0		H	sg n	1.0	4
küsinud	küsima	nud		V	nud	1.0	4
küsinud	küsinud	0		A		0.0	0
küsinud	küsinud	0		A	sg n	0.0	0
küsinud	küsinud	d		A	pl n	0.0	0
lastud	lastud	0		A		0.5	2
lastud	laskma	tud		V	tud	0.5	2
lastud	lastud	0		A	sg n	0.0	0
lastud	lastud	d		A	pl n	0.0	0
läbitud	läbitud	0		A		1.0	4
läbitud	läbima	tud		V	tud	0.0	0
läbitud	läbitud	d		A	pl n	0.0	0
läbitud	läbitud	0		A	sg n	0.0	0
proovinud	proovima	nud		V	nud	0.75	3
proovinud	proovinud	0		A		0.25	1
proovinud	proovinud	d		A	pl n	0.0	0
proovinud	proovinud	0		A	sg n	0.0	0
teatanud	teatama	nud		V	nud	1.0	4
teatanud	teatanud	0		A		0.0	0
teatanud	teatanud	d		A	pl n	0.0	0
teatanud	teatanud	0		A	sg n	0.0	0
kevade	kevad	0		S	sg g	1.0	4
kevade	kevade	0		S	sg g	0.0	0
kehtinud	kehtinud	0		A		0.75	3
kehtinud	kehtima	nud		V	nud	0.25	1
kehtinud	kehtinud	d		A	pl n	0.0	0
kehtinud	kehtinud	0		A	sg n	0.0	0
balti	Balti	0		H	sg g	1.0	4
balti	Balt	0		H	sg g	0.0	0
ülemöödunud	ülemöödunud	0		A		1.0	4
ülemöödunud	ülemöödunud	0		A	sg n	0.0	0
ülemöödunud	ülemöödunud	d		A	pl n	0.0	0
teoks	tegu	ks		S	sg tr	1.0	4
teoks	tigu	ks		S	sg tr	0.0	0
suudetud	suutma	tud		V	tud	1.0	4
suudetud	suudetud	0		A	sg n	0.0	0
suudetud	suudetud	0		A		0.0	0
suudetud	suudetud	d		A	pl n	0.0	0
oodanud	ootama	nud		V	nud	0.75	3
oodanud	oodanud	0		A		0.25	1
oodanud	oodanud	d		A	pl n	0.0	0
oodanud	oodanud	0		A	sg n	0.0	0
tartu-tallinna	Tartu-Tallinn	0		H	sg g	1.0	4
rajatud	rajatud	0		A		0.5	2
rajatud	rajama	tud		V	tud	0.5	2
rajatud	rajatud	0		A	sg n	0.0	0
rajatud	rajatud	d		A	pl n	0.0	0
õhtuleht	Õhtuleht	0		H	sg n	1.0	4
observatooriumi	Observatoorium	0		H	sg g	1.0	4
sõlminud	sõlmima	nud		V	nud	1.0	4
sõlminud	sõlminud	d		A	pl n	0.0	0
sõlminud	sõlminud	0		A		0.0	0
sõlminud	sõlminud	0		A	sg n	0.0	0
mõõdukate	Mõõdukas	te		H	pl g	1.0	4
mõõdukate	Mõõdukate	0		H	sg g	0.0	0
visanud	visanud	0		A		0.5	2
visanud	viskama	nud		V	nud	0.5	2
visanud	visanud	d		A	pl n	0.0	0
visanud	visanud	0		A	sg n	0.0	0
punjabis	Punjab	s		H	sg in	1.0	4
punjabis	Punjabi	s		H	sg in	0.0	0
diagnoositud	diagnoositud	0		A		0.5	2
diagnoositud	diagnoosima	tud		V	tud	0.5	2
diagnoositud	diagnoositud	d		A	pl n	0.0	0
diagnoositud	diagnoositud	0		A	sg n	0.0	0
tillmann	Tillmann	0		H	sg n	1.0	4
reed	Reed	0		H	sg n	1.0	4
reed	Ree	d		H	pl n	0.0	0
reed	Regi	d		H	pl n	0.0	0
ida-virumaal	Ida-Virumaa	l		H	sg ad	1.0	4
isoleeritud	isoleerima	tud		V	tud	0.5	2
isoleeritud	isoleeritud	0		A		0.5	2
isoleeritud	isoleeritud	d		A	pl n	0.0	0
isoleeritud	isoleeritud	0		A	sg n	0.0	0
kaotama	kaotama	ma		V	ma	1.0	4
kaotama	kaduma	tama		V	tama	0.0	0
ilmoja	Ilmoja	0		H	sg n	1.0	4
päevaleht	Päevaleht	0		H	sg n	1.0	4
moodymanni	Moodymann	0		H	sg g	1.0	4
moodymanni	Moodymanni	0		H	sg g	0.0	0
veerel	veer	l		S	sg ad	1.0	4
veerel	veere	l		S	sg ad	0.0	0
keskküla	Keskküla	0		H	sg n	1.0	4
trükitud	trükkima	tud		V	tud	0.75	3
trükitud	trükitud	0		A		0.25	1
trükitud	trükitud	d		A	pl n	0.0	0
trükitud	trükitud	0		A	sg n	0.0	0
treenitud	treenitud	0		A		1.0	4
treenitud	treenima	tud		V	tud	0.0	0
treenitud	treenitud	d		A	pl n	0.0	0
treenitud	treenitud	0		A	sg n	0.0	0
keskliit	Keskliit	0		H	sg n	1.0	4
riigikogu	Riigikogu	0		H	sg g	1.0	4
nõutud	nõutud	0		A		1.0	4
nõutud	nõutu	d		A	pl n	0.0	0
nõutud	nõutud	0		A	sg n	0.0	0
nõutud	nõutud	d		A	pl n	0.0	0
nõutud	nõudma	tud		V	tud	0.0	0
pööranud	pöörama	nud		V	nud	1.0	4
pööranud	pööranud	d		A	pl n	0.0	0
pööranud	pööranud	0		A		0.0	0
pööranud	pööranud	0		A	sg n	0.0	0
päikest	päike	t		S	sg p	1.0	4
päikest	päikene	t		S	sg p	0.0	0
boismanni	Boismann	0		H	sg g	1.0	4
boismanni	Boismanni	0		H	sg g	0.0	0
ajanud	ajama	nud		V	nud	0.75	3
ajanud	ajanud	0		A		0.25	1
ajanud	ajanud	d		A	pl n	0.0	0
ajanud	ajanud	0		A	sg n	0.0	0
pisikese	pisike	0		A	sg g	1.0	4
pisikese	pisikene	0		A	sg g	0.0	0
visatud	visatud	0		A		0.5	2
visatud	viskama	tud		V	tud	0.5	2
visatud	visatud	0		A	sg n	0.0	0
visatud	visatud	d		A	pl n	0.0	0
näidustatud	näidustatud	0		A		0.5	2
näidustatud	näidustama	tud		V	tud	0.25	1
näidustatud	näidustatud	0		A	sg n	0.25	1
näidustatud	näidustatud	d		A	pl n	0.0	0
keedetud	keedetud	0		A		1.0	4
keedetud	keetma	tud		V	tud	0.0	0
keedetud	keedetud	0		A	sg n	0.0	0
keedetud	keedetud	d		A	pl n	0.0	0
mõistnud	mõistma	nud		V	nud	0.75	3
mõistnud	mõistnud	0		A		0.25	1
mõistnud	mõistnud	d		A	pl n	0.0	0
mõistnud	mõistnud	0		A	sg n	0.0	0
summad	summa	d		S	pl n	1.0	4
summad	summ	d		S	pl n	0.0	0
läbiviidud	läbiviidud	0		A		1.0	4
läbiviidud	läbiviidud	d		A	pl n	0.0	0
läbiviidud	läbiviidud	0		A	sg n	0.0	0
raja	rada	0		S	sg g	1.0	4
raja	raja	0		S	sg g	0.0	0
lemmingu	Lemming	0		H	sg g	1.0	4
lemmingu	Lemmingu	0		H	sg g	0.0	0
ardeni	Arden	0		H	sg g	1.0	4
ardeni	Ardeni	0		H	sg g	0.0	0
värvitud	värvitud	0		A		0.5	2
värvitud	värvima	tud		V	tud	0.5	2
värvitud	värvitud	d		A	pl n	0.0	0
värvitud	värvitu	d		A	pl n	0.0	0
värvitud	värvitud	0		A	sg n	0.0	0
tõele	tõde	le		S	sg all	1.0	4
tõele	tõsi	le		S	sg all	0.0	0
metsaleht	Metsaleht	0		H	sg n	1.0	4
pingestatud	pingestatud	0		A		1.0	4
pingestatud	pingestatud	0		A	sg n	0.0	0
pingestatud	pingestama	tud		V	tud	0.0	0
pingestatud	pingestatud	d		A	pl n	0.0	0
armastanud	armastama	nud		V	nud	1.0	4
armastanud	armastanud	0		A	sg n	0.0	0
armastanud	armastanud	0		A		0.0	0
armastanud	armastanud	d		A	pl n	0.0	0
lippmaa	Lippmaa	0		H	sg n	1.0	4
püstitatud	püstitatud	0		A		0.75	3
püstitatud	püstitama	tud		V	tud	0.25	1
püstitatud	püstitatud	0		A	sg n	0.0	0
püstitatud	püstitatud	d		A	pl n	0.0	0
langetatud	langetatud	0		A		1.0	4
langetatud	langetatud	d		A	pl n	0.0	0
langetatud	langetatud	0		A	sg n	0.0	0
langetatud	langetama	tud		V	tud	0.0	0
lõuna-ameerika	Lõuna-Ameerika	0		H	sg g	0.5	2
